Loading checkpoint shards: 100%|████████████████████████████████████████| 4/4 [00:00<00:00, 10.69it/s]
{'trainable_params': 41882625, 'total_params': 7657499137, 'trainable_ratio': 0.0054694913118081626}
itds:   4%|█▏                              | 160/4262 [05:25<2:18:11,  2.02s/it, loss=299.5, reward=1]
{'step': 5, 'loss': 44508.49609375, 'reward_mean': 0.625, 'log_pi_mean': -672.9630126953125, 'log_ref_mean': -9.239147186279297, 'kl_mean': -663.723876953125, 'valid_tokens_mean': 3.375, 'advantage_mean': 54.928409576416016, 'advantage_std': 24.88850212097168, 'policy_loss': 42690.2109375, 'value_loss': 3636.567626953125, 'grad_norm': 2249138.75, 'learning_rate': 5e-05}
{'step': 10, 'loss': -1562.083740234375, 'reward_mean': 0.875, 'log_pi_mean': -74.25041198730469, 'log_ref_mean': -8.293563842773438, 'kl_mean': -65.95684814453125, 'valid_tokens_mean': 1.0, 'advantage_mean': -26.9752197265625, 'advantage_std': 2.550579071044922, 'policy_loss': -1929.167724609375, 'value_loss': 734.1678466796875, 'grad_norm': 143144.53125, 'learning_rate': 5e-05}
{'step': 15, 'loss': 1152.50244140625, 'reward_mean': 0.0, 'log_pi_mean': -270.98687744140625, 'log_ref_mean': -6.379205703735352, 'kl_mean': -264.607666015625, 'valid_tokens_mean': 2.375, 'advantage_mean': -0.8555808067321777, 'advantage_std': 11.630036354064941, 'policy_loss': 1084.507568359375, 'value_loss': 135.98976135253906, 'grad_norm': 502245.25, 'learning_rate': 5e-05}
{'step': 20, 'loss': 8140.80615234375, 'reward_mean': 0.875, 'log_pi_mean': -440.48553466796875, 'log_ref_mean': -13.065914154052734, 'kl_mean': -427.41961669921875, 'valid_tokens_mean': 3.0, 'advantage_mean': 15.476664543151855, 'advantage_std': 10.962039947509766, 'policy_loss': 7960.95947265625, 'value_loss': 359.6934814453125, 'grad_norm': 190958.203125, 'learning_rate': 5e-05}
{'step': 25, 'loss': 2977.66162109375, 'reward_mean': 0.5714285969734192, 'log_pi_mean': -348.6382141113281, 'log_ref_mean': -15.596445083618164, 'kl_mean': -333.0417175292969, 'valid_tokens_mean': 6.142857551574707, 'advantage_mean': 7.78227424621582, 'advantage_std': 4.280956745147705, 'policy_loss': 2938.21630859375, 'value_loss': 78.890380859375, 'grad_norm': 665890.75, 'learning_rate': 5e-05}
{'step': 30, 'loss': 19605.43359375, 'reward_mean': 0.1428571492433548, 'log_pi_mean': -351.8468933105469, 'log_ref_mean': -14.951425552368164, 'kl_mean': -336.89544677734375, 'valid_tokens_mean': 5.428571701049805, 'advantage_mean': 10.12289047241211, 'advantage_std': 38.949798583984375, 'policy_loss': 18795.654296875, 'value_loss': 1619.5596923828125, 'grad_norm': 199530.984375, 'learning_rate': 5e-05}
{'step': 35, 'loss': 9738897.0, 'reward_mean': 1.0, 'log_pi_mean': -3760.03369140625, 'log_ref_mean': -35.02277374267578, 'kl_mean': -3725.0107421875, 'valid_tokens_mean': 26.625, 'advantage_mean': 353.653076171875, 'advantage_std': 889.440185546875, 'policy_loss': 9280810.0, 'value_loss': 916174.375, 'grad_norm': 13437847.0, 'learning_rate': 5e-05}
{'step': 40, 'loss': -631.0776977539062, 'reward_mean': 1.0, 'log_pi_mean': -182.1119384765625, 'log_ref_mean': -3.353973627090454, 'kl_mean': -178.75796508789062, 'valid_tokens_mean': 3.0, 'advantage_mean': -3.498941421508789, 'advantage_std': 0.0, 'policy_loss': -637.198974609375, 'value_loss': 12.24259090423584, 'grad_norm': 265986.65625, 'learning_rate': 5e-05}
{'step': 45, 'loss': 43.67282485961914, 'reward_mean': 0.6666666865348816, 'log_pi_mean': -80.14207458496094, 'log_ref_mean': -7.229268550872803, 'kl_mean': -72.91280364990234, 'valid_tokens_mean': 1.0, 'advantage_mean': -1.4103143215179443, 'advantage_std': 4.041204452514648, 'policy_loss': 34.512664794921875, 'value_loss': 18.32032012939453, 'grad_norm': 140621.640625, 'learning_rate': 5e-05}
{'step': 50, 'loss': 4084.91845703125, 'reward_mean': 1.0, 'log_pi_mean': -256.4697265625, 'log_ref_mean': -3.2615432739257812, 'kl_mean': -253.20819091796875, 'valid_tokens_mean': 1.0, 'advantage_mean': 15.46143627166748, 'advantage_std': 0.0, 'policy_loss': 3965.390380859375, 'value_loss': 239.05601501464844, 'grad_norm': 115952.1796875, 'learning_rate': 5e-05}
{'step': 55, 'loss': -866.6132202148438, 'reward_mean': 1.0, 'log_pi_mean': -111.64892578125, 'log_ref_mean': -10.373501777648926, 'kl_mean': -101.27542114257812, 'valid_tokens_mean': 2.0, 'advantage_mean': -8.052322387695312, 'advantage_std': 0.0, 'policy_loss': -899.0331420898438, 'value_loss': 64.83989715576172, 'grad_norm': 70431.6015625, 'learning_rate': 5e-05}
