Loading checkpoint shards: 100%|████████████████████████████████████████| 4/4 [00:00<00:00, 10.65it/s]
{'trainable_params': 41882625, 'total_params': 7657499137, 'trainable_ratio': 0.0054694913118081626}
itds:   4%|█▏                              | 160/4262 [05:24<2:19:34,  2.04s/it, loss=40.83, reward=1]
{'step': 5, 'loss': 264.71368408203125, 'reward_mean': 0.625, 'log_pi_mean': -38.064910888671875, 'log_ref_mean': -9.239147186279297, 'kl_mean': -28.825759887695312, 'valid_tokens_mean': 3.375, 'advantage_mean': 12.08737850189209, 'advantage_std': 7.522390365600586, 'num_tokens': 27.0, 'policy_loss': 163.36813354492188, 'value_loss': 202.6910858154297, 'token_reward_mean': 4.455667972564697, 'return_mean': 10.847683906555176, 'grad_norm': 6125.8564453125, 'learning_rate': 5e-06}
{'step': 10, 'loss': 36.017677307128906, 'reward_mean': 0.875, 'log_pi_mean': -16.07901954650879, 'log_ref_mean': -8.293563842773438, 'kl_mean': -7.78545618057251, 'valid_tokens_mean': 1.0, 'advantage_mean': 2.0872011184692383, 'advantage_std': 0.2146364450454712, 'num_tokens': 8.0, 'policy_loss': 33.816436767578125, 'value_loss': 4.402477264404297, 'token_reward_mean': 4.767727851867676, 'return_mean': 4.767727851867676, 'grad_norm': 686.9822998046875, 'learning_rate': 5e-06}
{'step': 15, 'loss': 9.767329216003418, 'reward_mean': 0.0, 'log_pi_mean': -14.389711380004883, 'log_ref_mean': -6.379205703735352, 'kl_mean': -8.010506629943848, 'valid_tokens_mean': 2.375, 'advantage_mean': -2.127371311187744, 'advantage_std': 3.279700517654419, 'num_tokens': 19.0, 'policy_loss': 2.1262571811676025, 'value_loss': 15.282143592834473, 'token_reward_mean': 1.6864227056503296, 'return_mean': 2.307339906692505, 'grad_norm': 2666.5595703125, 'learning_rate': 5e-06}
{'step': 20, 'loss': 46.66425323486328, 'reward_mean': 0.875, 'log_pi_mean': -33.1802864074707, 'log_ref_mean': -13.065914154052734, 'kl_mean': -20.11437225341797, 'valid_tokens_mean': 3.0, 'advantage_mean': -1.2879481315612793, 'advantage_std': 5.210910797119141, 'num_tokens': 24.0, 'policy_loss': 32.25804901123047, 'value_loss': 28.81240463256836, 'token_reward_mean': 3.644062042236328, 'return_mean': 5.414527416229248, 'grad_norm': 712.2982788085938, 'learning_rate': 5e-06}
{'step': 25, 'loss': 256.7945861816406, 'reward_mean': 0.5714285969734192, 'log_pi_mean': -60.71070098876953, 'log_ref_mean': -15.596445083618164, 'kl_mean': -45.114253997802734, 'valid_tokens_mean': 6.142857551574707, 'advantage_mean': 12.193487167358398, 'advantage_std': 8.940133094787598, 'num_tokens': 43.0, 'policy_loss': 142.49102783203125, 'value_loss': 228.6071014404297, 'token_reward_mean': 3.765113592147827, 'return_mean': 16.05990219116211, 'grad_norm': 3090.83837890625, 'learning_rate': 5e-06}
{'step': 30, 'loss': 493.22021484375, 'reward_mean': 0.1428571492433548, 'log_pi_mean': -50.58482360839844, 'log_ref_mean': -14.951425552368164, 'kl_mean': -35.63339614868164, 'valid_tokens_mean': 5.428571701049805, 'advantage_mean': 14.281529426574707, 'advantage_std': 20.56642723083496, 'num_tokens': 38.0, 'policy_loss': 179.75021362304688, 'value_loss': 626.9400024414062, 'token_reward_mean': 3.3083391189575195, 'return_mean': 18.571792602539062, 'grad_norm': 1928.345703125, 'learning_rate': 5e-06}
{'step': 35, 'loss': 76171.6796875, 'reward_mean': 1.0, 'log_pi_mean': -249.65383911132812, 'log_ref_mean': -35.02277374267578, 'kl_mean': -214.6310577392578, 'valid_tokens_mean': 26.625, 'advantage_mean': 301.8092346191406, 'advantage_std': 236.15127563476562, 'num_tokens': 213.0, 'policy_loss': 2743.553955078125, 'value_loss': 146856.25, 'token_reward_mean': 4.0681891441345215, 'return_mean': 303.9903259277344, 'grad_norm': 9890.158203125, 'learning_rate': 5e-06}
{'step': 40, 'loss': -5.467650413513184, 'reward_mean': 1.0, 'log_pi_mean': -13.60925006866455, 'log_ref_mean': -3.353973627090454, 'kl_mean': -10.255276679992676, 'valid_tokens_mean': 3.0, 'advantage_mean': -4.602001667022705, 'advantage_std': 1.4473741054534912, 'num_tokens': 24.0, 'policy_loss': -17.104307174682617, 'value_loss': 23.273313522338867, 'token_reward_mean': 2.042546033859253, 'return_mean': 3.970305919647217, 'grad_norm': 1004.9600219726562, 'learning_rate': 5e-06}
{'step': 45, 'loss': -16.645370483398438, 'reward_mean': 0.6666666865348816, 'log_pi_mean': -7.150054454803467, 'log_ref_mean': -7.229268550872803, 'kl_mean': 0.07921425998210907, 'valid_tokens_mean': 1.0, 'advantage_mean': -6.712663650512695, 'advantage_std': 1.9064619541168213, 'num_tokens': 6.0, 'policy_loss': -40.99259567260742, 'value_loss': 48.69445037841797, 'token_reward_mean': 0.6270595788955688, 'return_mean': 0.6270595788955688, 'grad_norm': 1219.791015625, 'learning_rate': 5e-06}
{'step': 50, 'loss': 100.22970581054688, 'reward_mean': 1.0, 'log_pi_mean': -22.243139266967773, 'log_ref_mean': -3.2615432739257812, 'kl_mean': -18.981595993041992, 'valid_tokens_mean': 1.0, 'advantage_mean': 4.123822212219238, 'advantage_std': 0.0, 'num_tokens': 8.0, 'policy_loss': 91.72675323486328, 'value_loss': 17.005908966064453, 'token_reward_mean': 10.490797996520996, 'return_mean': 10.490797996520996, 'grad_norm': 2172.295654296875, 'learning_rate': 5e-06}
{'step': 55, 'loss': -4.536920547485352, 'reward_mean': 1.0, 'log_pi_mean': -10.024439811706543, 'log_ref_mean': -10.373501777648926, 'kl_mean': 0.3490619659423828, 'valid_tokens_mean': 2.0, 'advantage_mean': -6.251676559448242, 'advantage_std': 1.3050932884216309, 'num_tokens': 16.0, 'policy_loss': -24.93028450012207, 'value_loss': 40.78672790527344, 'token_reward_mean': 0.4127344787120819, 'return_mean': 0.45235389471054077, 'grad_norm': 1612.1829833984375, 'learning_rate': 5e-06}
