Loading checkpoint shards: 100%|███████████████████████████████████████████████████████| 4/4 [00:00<00:00, 10.50it/s]
{'trainable_params': 41882625, 'total_params': 7657499137, 'trainable_ratio': 0.0054694913118081626}
itds:   8%|██▋                                 | 160/2131 [10:28:20<121:24:17, 221.74s/it, loss=0.3494, reward=0.375]
{'step': 5, 'loss': 12.794394493103027, 'reward_mean': 0.875, 'log_pi_mean': -54.436866760253906, 'log_ref_mean': -54.40928268432617, 'kl_mean': -0.027583599090576172, 'valid_tokens_mean': 512.75, 'advantage_mean': -4.0644731521606445, 'advantage_std': 3.226149797439575, 'num_tokens': 4102.0, 'policy_loss': -0.6695956587791443, 'value_loss': 26.927980422973633, 'token_reward_mean': 0.0017333825817331672, 'return_mean': 0.8671641945838928, 'grad_norm': 1031.9156494140625, 'learning_rate': 5e-06}
{'step': 10, 'loss': 11.18112564086914, 'reward_mean': 0.875, 'log_pi_mean': -65.38399505615234, 'log_ref_mean': -65.39691162109375, 'kl_mean': 0.012919425964355469, 'valid_tokens_mean': 809.875, 'advantage_mean': -3.316681146621704, 'advantage_std': 3.5063605308532715, 'num_tokens': 6479.0, 'policy_loss': -0.46634259819984436, 'value_loss': 23.294937133789062, 'token_reward_mean': 0.0010724388994276524, 'return_mean': 0.9082760214805603, 'grad_norm': 951.213134765625, 'learning_rate': 5e-06}
{'step': 15, 'loss': 5.14081335067749, 'reward_mean': 0.125, 'log_pi_mean': -143.9462127685547, 'log_ref_mean': -143.90066528320312, 'kl_mean': -0.04556083679199219, 'valid_tokens_mean': 1348.625, 'advantage_mean': -1.906843662261963, 'advantage_std': 2.729367733001709, 'num_tokens': 10789.0, 'policy_loss': -0.4019378125667572, 'value_loss': 11.085502624511719, 'token_reward_mean': 0.00010958075290545821, 'return_mean': 0.1177852600812912, 'grad_norm': 583.2986450195312, 'learning_rate': 5e-06}
{'step': 20, 'loss': 2.8671655654907227, 'reward_mean': 1.0, 'log_pi_mean': -67.06997680664062, 'log_ref_mean': -66.98063659667969, 'kl_mean': -0.08934545516967773, 'valid_tokens_mean': 496.875, 'advantage_mean': -0.49159571528434753, 'advantage_std': 2.47224760055542, 'num_tokens': 3975.0, 'policy_loss': -0.30967140197753906, 'value_loss': 6.353673934936523, 'token_reward_mean': 0.0021024851594120264, 'return_mean': 1.0115253925323486, 'grad_norm': 253.11654663085938, 'learning_rate': 5e-06}
{'step': 25, 'loss': 2.292485475540161, 'reward_mean': 1.0, 'log_pi_mean': -30.856170654296875, 'log_ref_mean': -30.86665916442871, 'kl_mean': 0.010490179061889648, 'valid_tokens_mean': 410.0, 'advantage_mean': 0.913097083568573, 'advantage_std': 1.9412771463394165, 'num_tokens': 3280.0, 'policy_loss': -0.008666090667247772, 'value_loss': 4.6023030281066895, 'token_reward_mean': 0.0024262319784611464, 'return_mean': 0.9959392547607422, 'grad_norm': 109.25202178955078, 'learning_rate': 5e-06}
{'step': 30, 'loss': 2.394578218460083, 'reward_mean': 1.0, 'log_pi_mean': -56.72527313232422, 'log_ref_mean': -56.66311264038086, 'kl_mean': -0.06215715408325195, 'valid_tokens_mean': 503.75, 'advantage_mean': 0.5447254180908203, 'advantage_std': 2.126779317855835, 'num_tokens': 4030.0, 'policy_loss': -0.015379909425973892, 'value_loss': 4.819916248321533, 'token_reward_mean': 0.0020468055736273527, 'return_mean': 1.0071016550064087, 'grad_norm': 123.55902862548828, 'learning_rate': 5e-06}
{'step': 35, 'loss': 1.31400728225708, 'reward_mean': 0.25, 'log_pi_mean': -104.66442108154297, 'log_ref_mean': -104.63076782226562, 'kl_mean': -0.033654212951660156, 'valid_tokens_mean': 1001.25, 'advantage_mean': 0.20962019264698029, 'advantage_std': 1.6118711233139038, 'num_tokens': 8010.0, 'policy_loss': -0.007027242798358202, 'value_loss': 2.642069101333618, 'token_reward_mean': 0.00026649574283510447, 'return_mean': 0.1563214510679245, 'grad_norm': 74.75611114501953, 'learning_rate': 5e-06}
{'step': 40, 'loss': 2.2509500980377197, 'reward_mean': 0.625, 'log_pi_mean': -75.16731262207031, 'log_ref_mean': -75.03274536132812, 'kl_mean': -0.13457345962524414, 'valid_tokens_mean': 445.625, 'advantage_mean': -0.9354518055915833, 'advantage_std': 2.04695200920105, 'num_tokens': 3565.0, 'policy_loss': -0.2815912365913391, 'value_loss': 5.065082550048828, 'token_reward_mean': 0.0015535169513896108, 'return_mean': 0.6583879590034485, 'grad_norm': 155.7919464111328, 'learning_rate': 5e-06}
{'step': 45, 'loss': 0.990180253982544, 'reward_mean': 0.875, 'log_pi_mean': -47.706443786621094, 'log_ref_mean': -47.659332275390625, 'kl_mean': -0.04710531234741211, 'valid_tokens_mean': 480.125, 'advantage_mean': 0.33261120319366455, 'advantage_std': 1.3663980960845947, 'num_tokens': 3841.0, 'policy_loss': 0.001343298819847405, 'value_loss': 1.977673888206482, 'token_reward_mean': 0.0018714962061494589, 'return_mean': 0.9110185503959656, 'grad_norm': 44.8250732421875, 'learning_rate': 5e-06}
{'step': 50, 'loss': 1.3074332475662231, 'reward_mean': 0.0, 'log_pi_mean': -90.06011962890625, 'log_ref_mean': -89.92283630371094, 'kl_mean': -0.1372852325439453, 'valid_tokens_mean': 521.375, 'advantage_mean': -0.7330774068832397, 'advantage_std': 1.5586915016174316, 'num_tokens': 4171.0, 'policy_loss': -0.17602768540382385, 'value_loss': 2.966921806335449, 'token_reward_mean': 0.00013165724521968514, 'return_mean': 0.01852223463356495, 'grad_norm': 25.268905639648438, 'learning_rate': 5e-06}
{'step': 55, 'loss': 1.4790664911270142, 'reward_mean': 0.625, 'log_pi_mean': -115.9131088256836, 'log_ref_mean': -115.7844009399414, 'kl_mean': -0.12870550155639648, 'valid_tokens_mean': 788.625, 'advantage_mean': 0.6481835842132568, 'advantage_std': 1.5476189851760864, 'num_tokens': 6309.0, 'policy_loss': 0.07143322378396988, 'value_loss': 2.8152666091918945, 'token_reward_mean': 0.0008741221972741187, 'return_mean': 0.6269805431365967, 'grad_norm': 114.27318572998047, 'learning_rate': 5e-06}
